'"left_arm"' 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0
'"right_arm"' 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 1
'"left_leg"' 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0
'"right_leg"' 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
'"head"' 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
'"frequency"' 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
'"phase_la"' 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
'"phase_ra"' 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
'"phase_ll"' 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
'"phase_rl"' 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
'"phase_head"' 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
