"left_arm" 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2
"right_arm" 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2
"left_leg" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"right_leg" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"head" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"frequency" 0.5 0.6 0.6 0.6 0.5 0.5 0.6 0.6 0.5 0.5 0.6 0.6 0.5 0.5 0.6 0.6
"phase_la" 0 3.14 0 1.57 1.57 1.57 0 0 0 0 0 0 0 0 0 0
"phase_ra" 0 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0
"phase_ll" 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"phase_rl" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"phase_head" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0


